"TOA5","19171","CR1000X","19171","CR1000X.Std.04.02","CPU:GEMINI_weatherstation_2023.CR1X","64682","Table1"
"TIMESTAMP","RECORD","AirTC","RH","PanelT","PPF","windSpeed","windDirection","GustWindSpeed","AirTemp","XOrientation","YOrientation","CompassHeading","N_Wind","E_Wind","GustWindSpeed2"
"TS","RN","Deg C","%","","","m/s","Â°","m/s","Â°C","Â°","Â°","Â°","m/s","m/s","m/s"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-09-07 00:00:05",1063859,17.11,69.63,0,0,0.53,223,0.53,16.9,1,0.7,0,-0.38,-0.36,0.53
"2023-09-07 00:00:10",1063860,17.11,69.63,0,0,0.82,193,0.82,16.9,0.7,0.5,0,-0.8,-0.18,0.82
"2023-09-07 00:00:15",1063861,17.11,69.63,0,0,0.53,135.6,0.53,17,0.9,0.7,0,-0.38,0.37,0.53
"2023-09-07 00:00:20",1063862,17.11,69.65,0,0,0.53,129.1,0.53,16.8,1,0.7,0,-0.34,0.41,0.53
"2023-09-07 00:00:25",1063863,17.09,69.69,0,0,0.78,166,0.78,16.9,0.9,0.6,0,-0.76,0.19,0.78
"2023-09-07 00:00:30",1063864,17.09,69.71,0,0.001,0.59,172.4,0.59,16.8,1,0.5,0,-0.58,0.08,0.59
"2023-09-07 00:00:35",1063865,17.09,69.73,0,0,0.64,162.4,0.64,16.7,0.9,0.7,0,-0.61,0.19,0.64
"2023-09-07 00:00:40",1063866,17.09,69.69,0,0,0.72,191.4,0.72,17,0.9,0.7,0,-0.7,-0.14,0.72
"2023-09-07 00:00:45",1063867,17.09,69.69,0,0,0.87,165.4,0.87,16.9,0.8,0.7,0,-0.84,0.22,0.87
"2023-09-07 00:00:50",1063868,17.09,69.65,0,0,1.02,155.8,1.02,17,0.8,0.6,0,-0.93,0.42,1.02
"2023-09-07 00:00:55",1063869,17.09,69.55,0,0,0.92,182.3,0.92,17.2,0.9,0.5,0,-0.92,-0.04,0.92
"2023-09-07 00:01:00",1063870,17.09,69.53,0,0,0.88,170.9,0.88,17.2,0.5,0.8,0,-0.87,0.14,0.88
"2023-09-07 00:01:05",1063871,17.09,69.53,0,0.001,1.04,185.7,1.04,17,0.9,0.6,0,-1.04,-0.1,1.04
"2023-09-07 00:01:10",1063872,17.09,69.53,0,0.001,0.48,170.1,0.48,17,0.8,0.5,0,-0.47,0.08,0.48
"2023-09-07 00:01:15",1063873,17.09,69.55,0,0,0.66,168.5,0.66,16.9,0.7,0.7,0,-0.65,0.13,0.66
"2023-09-07 00:01:20",1063874,17.09,69.57,0,0,1.02,159.2,1.02,17,0.8,0.7,0,-0.95,0.36,1.02
"2023-09-07 00:01:25",1063875,17.09,69.61,0,0,0.75,133.1,0.75,16.9,1,0.6,0,-0.51,0.55,0.75
"2023-09-07 00:01:30",1063876,17.09,69.65,0,0.001,0.7,148,0.7,16.8,0.8,0.6,0,-0.59,0.37,0.7
"2023-09-07 00:01:35",1063877,17.09,69.65,0,0,0.93,157.5,0.93,16.9,1,0.7,0,-0.86,0.36,0.93
"2023-09-07 00:01:40",1063878,17.09,69.65,0,0,0.96,185.4,0.96,17,0.6,0.7,0,-0.95,-0.09,0.96
"2023-09-07 00:01:45",1063879,17.09,69.69,0,0,0.58,169.8,0.58,16.8,0.5,0.7,0,-0.57,0.1,0.58
"2023-09-07 00:01:50",1063880,17.09,69.73,0,0,1.06,182.5,1.06,16.8,0.7,0.5,0,-1.06,-0.05,1.06
"2023-09-07 00:01:55",1063881,17.09,69.69,0,0.001,0.77,160.5,0.77,17,1,0.7,0,-0.72,0.26,0.77
"2023-09-07 00:02:00",1063882,17.09,69.69,0,0,0.86,154.7,0.86,16.9,0.9,0.8,0,-0.78,0.37,0.86
"2023-09-07 00:02:05",1063883,17.09,69.69,0,0,1.18,160.6,1.18,16.9,1,0.4,0,-1.11,0.39,1.18
"2023-09-07 00:02:10",1063884,17.07,69.71,0,0.001,1.03,172,1.03,16.9,0.7,0.7,0,-1.02,0.14,1.03
"2023-09-07 00:02:15",1063885,17.07,69.73,0,0,0.98,166.8,0.98,16.9,0.8,0.5,0,-0.95,0.22,0.98
"2023-09-07 00:02:20",1063886,17.07,69.79,0,0.001,1.16,169.1,1.16,16.9,0.7,0.5,0,-1.14,0.22,1.16
"2023-09-07 00:02:25",1063887,17.07,69.81,0,0,0.87,162.6,0.87,16.8,0.9,0.5,0,-0.83,0.26,0.87
"2023-09-07 00:02:30",1063888,17.07,69.85,0,0,1.01,167.7,1.01,16.8,0.8,0.7,0,-0.99,0.22,1.01
"2023-09-07 00:02:35",1063889,17.07,69.85,0,0.001,0.81,157.8,0.81,16.9,0.8,0.8,0,-0.75,0.31,0.81
"2023-09-07 00:02:40",1063890,17.07,69.85,0,0,1,167.3,1,17.1,0.7,0.6,0,-0.98,0.22,1
"2023-09-07 00:02:45",1063891,17.07,69.81,0,0,1.08,165.9,1.08,17.1,0.8,0.7,0,-1.04,0.26,1.08
"2023-09-07 00:02:50",1063892,17.07,69.81,0,0,0.93,180.3,0.93,17,0.9,0.7,0,-0.93,0,0.93
"2023-09-07 00:02:55",1063893,17.05,69.81,0,0,1.09,181.6,1.09,17,0.8,0.7,0,-1.09,-0.03,1.09
"2023-09-07 00:03:00",1063894,17.05,69.79,0,0,1.1,163.4,1.1,17.1,0.7,0.7,0,-1.05,0.31,1.1
"2023-09-07 00:03:05",1063895,17.05,69.71,0,0.001,1.69,176.6,1.69,17.3,0.8,0.8,0,-1.69,0.1,1.69
"2023-09-07 00:03:10",1063896,17.05,69.69,0,0,1.23,173.1,1.23,17.1,0.6,0.5,0,-1.22,0.15,1.23
"2023-09-07 00:03:15",1063897,17.05,69.71,0,0,0.84,175.7,0.84,16.9,1,0.7,0,-0.84,0.06,0.84
"2023-09-07 00:03:20",1063898,17.05,69.73,0,0,1.34,175.2,1.34,16.8,0.7,0.8,0,-1.34,0.11,1.34
"2023-09-07 00:03:25",1063899,17.05,69.75,0,0,1.01,168.4,1.01,16.7,0.8,0.6,0,-0.99,0.2,1.01
"2023-09-07 00:03:30",1063900,17.05,69.77,0,0,1.2,182.8,1.2,16.8,0.7,0.6,0,-1.2,-0.06,1.2
"2023-09-07 00:03:35",1063901,17.05,69.75,0,0,1.91,184.5,1.91,16.8,0.9,0.7,0,-1.91,-0.15,1.91
"2023-09-07 00:03:40",1063902,17.05,69.69,0,0,1.8,184.2,1.8,17.1,0.7,0.6,0,-1.8,-0.13,1.8
"2023-09-07 00:03:45",1063903,17.05,69.69,0,0.001,1.46,159.4,1.46,17.1,0.7,0.5,0,-1.37,0.51,1.46
"2023-09-07 00:03:50",1063904,17.05,69.65,0,0,1.32,156.2,1.32,16.9,0.8,0.5,0,-1.21,0.53,1.32
"2023-09-07 00:03:55",1063905,17.05,69.67,0,0,1.03,145.7,1.03,16.9,0.9,0.6,0,-0.85,0.58,1.03
"2023-09-07 00:04:00",1063906,17.05,69.67,0,0,0.9,172.9,0.9,16.9,0.7,0.6,0,-0.89,0.11,0.9
"2023-09-07 00:04:05",1063907,17.05,69.69,0,0,1.22,187.1,1.22,16.9,0.7,0.6,0,-1.21,-0.15,1.22
"2023-09-07 00:04:10",1063908,17.03,69.69,0,0,0.91,163.1,0.91,16.8,0.8,0.7,0,-0.87,0.26,0.91
