Tier,Bed,Plot,Label,Group,Avg_Height_Drone_cm,Vegetation_Fraction,Avg_Temp_C,Average_Height_from_Rover_cm,Average_Leaf_Area_cm2,Average_Pod_Count,Average_Leaf_Count,Average_Flower_Count,Date,Intensive_physiological_plot
2,24,701,154,CB-tepary,0.085133828,0.043009021,39.76482581,10.76,24.68,0,4,0,6/20/2022,0
2,24,701,154,CB-tepary,0.309255265,0.242219723,34.37805051,23.2,185.45,0,19,1,7/11/2022,0
2,24,701,154,CB-tepary,0.534229247,0.405543774,30.71108865,35.65,615.31,1,21,2,7/25/2022,0
3,24,702,6,CB-tepary,0.120339712,0.120805212,33.02141473,21.88,142.23,0,16,0,7/11/2022,0
3,24,702,6,CB-tepary,0.394732297,0.244360902,33.33865015,32.84,522.08,0,23,1,7/25/2022,0
4,24,703,62,CB-tepary,0.31758575,0.266474503,31.40886526,23.85,281.64,0,25,0,7/11/2022,0
4,24,703,62,CB-tepary,0.593692733,0.410213568,31.08431199,40.92,710.56,0,19,1,7/25/2022,0
5,24,704,Check1,CB-tepary,0.074544784,0.039632556,40.53198934,10.39,30.14,0,6,0,6/20/2022,0
5,24,704,Check1,CB-tepary,0.315557177,0.279785339,34.10735701,25.22,209.32,1,31,1,7/11/2022,0
5,24,704,Check1,CB-tepary,0.478634167,0.572671156,32.56654003,35.75,881.95,1,52,2,7/25/2022,0
5,25,705,168,CB-tepary,0.077760443,0.037506519,40.2365918,6.59,18.11,0,3,0,6/20/2022,0
5,25,705,168,CB-tepary,0.192420515,0.549962505,31.464842,18.53,620.45,1,17,0,7/11/2022,0
5,25,705,168,CB-tepary,0.413435265,0.510035773,32.74696679,23.59,1144.95,2,21,1,7/25/2022,0
4,25,706,Check2,CB-tepary,0.107315771,0.062419459,39.87555576,9,39.28,0,6,0,6/20/2022,0
4,25,706,Check2,CB-tepary,0.416091976,0.56145258,30.59998648,29.83,436.59,1,27,1,7/11/2022,0
4,25,706,Check2,CB-tepary,0.605904773,0.664003759,30.1985016,43.8,830.84,2,31,3,7/25/2022,0
3,25,707,56,CB-tepary,0.083311519,0.036525451,40.94212157,6.37,16.03,0,3,0,6/20/2022,0
3,25,707,56,CB-tepary,0.135648233,0.592663454,31.39809734,21.13,524.53,1,22,1,7/11/2022,0
3,25,707,56,CB-tepary,0.431822968,0.344262645,36.38841664,25.92,619.4,1,24,1,7/25/2022,0
2,25,708,149,CB-tepary,0.170812146,0.439843457,31.30563169,22.25,445.56,0,23,0,7/11/2022,0
2,25,708,149,CB-tepary,0.509205737,0.574160407,32.2930858,30.08,878.5,1,25,1,7/25/2022,0
2,26,709,131,CB-tepary,0.338905105,0.559429327,30.90595949,28.61,364.82,1,21,0,7/11/2022,0
2,26,709,131,CB-tepary,0.558025886,0.669040836,29.17399604,41.94,742.55,1,18,1,7/25/2022,0
3,26,710,128,CB-tepary,0.079645071,0.029639175,40.76240948,9.22,20.1,0,3,0,6/20/2022,0
3,26,710,128,CB-tepary,0.230502343,0.661886014,30.98279109,21.29,754.75,1,20,0,7/11/2022,0
3,26,710,128,CB-tepary,0.58186434,0.452888258,28.13940202,37.8,772.12,1,18,1,7/25/2022,0
4,26,711,231,CB-tepary,0.076600298,0.051183956,40.38066886,8.28,19,0,3,0,6/20/2022,0
4,26,711,231,CB-tepary,0.246327115,0.908956693,30.19558528,20.9,1293.36,1,17,1,7/11/2022,0
4,26,711,231,CB-tepary,0.44804464,0.714020547,28.15747538,30.24,968.95,1,17,2,7/25/2022,0
5,26,712,95,CB-tepary,0.06350091,0.018572747,40.5642693,9.23,13.2,0,2,0,6/20/2022,0
5,26,712,95,CB-tepary,0.150158696,0.774848828,31.73228552,15.54,1453.68,1,11,1,7/11/2022,0
5,26,712,95,CB-tepary,0.11174342,0.133367607,29.52164983,22.23,527.04,1,14,1,7/25/2022,0
5,27,713,288,CB-tepary,0.320797315,0.265342844,32.08912915,34.85,435.92,1,31,1,7/25/2022,0
4,27,714,110,CB-tepary,0.242595347,0.83756023,32.10765067,24.6,560.81,0,13,1,7/11/2022,0
4,27,714,110,CB-tepary,0.411972615,0.543681647,29.10214449,30.18,717.44,1,18,1,7/25/2022,0
3,27,715,148,CB-tepary,0.173360391,0.472394076,30.63140321,22.44,497.26,1,20,1,7/11/2022,0
3,27,715,148,CB-tepary,0.315225364,0.235645933,29.30614496,25.49,371.98,1,24,1,7/25/2022,0
2,27,716,115,CB-tepary,0.333859466,0.236478253,35.56870077,30.16,146.27,0,23,0,7/11/2022,0
2,27,716,115,CB-tepary,0.530868477,0.411541675,28.88193233,43.2,496.87,1,25,2,7/25/2022,0
6,24,717,191,CB-tepary,0.084097435,0.017610012,40.61218146,12.34,12.88,0,1,0,6/20/2022,0
6,24,717,191,CB-tepary,0.083753164,0.136786659,34.0035171,8.81,246.5,0,6,0,7/11/2022,0
